espece,prop.uniq,Reads,FC,replicate,genome_total_unique_kmers,kmers,prop.uniq,nbre_kmer_unique,recall
C.acnes,0,10M,1.5,0,1643682,0,0,0,0
M.restricta,0,10M,1.5,0,5761020,0,0,0,0
S.epidermidis,0,10M,1.5,0,1497335,0,0,0,0
S.pyogenes,0,10M,1.5,0,1276446,0,0,0,0
C.acnes,0.44,20M,1.5,0,1643682,16,0.44,7.04,4.28306691927027E-06
M.restricta,0.78,20M,1.5,0,5761020,893,0.78,696.54,0.000120905672953748
S.epidermidis,0.13,20M,1.5,0,1497335,38,0.13,4.94,3.29919490294423E-06
S.pyogenes,0,20M,1.5,0,1276446,0,0,0,0
C.acnes,0.7,40M,1.5,0,1643682,2855,0.7,1998.5,0.0012158677895116
M.restricta,0.84,40M,1.5,0,5761020,12855,0.84,10798.2,0.00187435558286553
S.epidermidis,0.16,40M,1.5,0,1497335,2056,0.16,328.96,0.00021969699499444
S.pyogenes,0.74,40M,1.5,0,1276446,19,0.74,14.06,1.10149587213247E-05
C.acnes,0.69,10M,2,0,1643682,2031,0.69,1401.39,0.000852591924715365
M.restricta,0.79,10M,2,0,5761020,11150,0.79,8808.5,0.00152898271486646
S.epidermidis,0.17,10M,2,0,1497335,1122,0.17,190.74,0.000127386323033924
S.pyogenes,0.77,10M,2,0,1276446,34,0.77,26.18,2.05100724981707E-05
C.acnes,0.69,20M,2,0,1643683,180853,0.69,124788.57,0.075920095298181
M.restricta,0.77,20M,2,0,5761021,199660,0.77,153738.2,0.0266859294559072
S.epidermidis,0.33,20M,2,0,1497336,9551,0.33,3151.83,0.00210495840612929
S.pyogenes,0.71,20M,2,0,1276447,1566,0.71,1111.86,0.000871058492832056
C.acnes,0.68,40M,2,0,1643683,1967120,0.68,1337641.6,0.813807528580633
M.restricta,0.79,40M,2,0,5761021,2061664,0.79,1628714.56,0.282712831631754
S.epidermidis,0.61,40M,2,0,1497336,217464,0.61,132653.04,0.0885927006363301
S.pyogenes,0.64,40M,2,0,1276447,9656,0.64,6179.84,0.0048414387749746
C.acnes,0.69,10M,3,0,1643683,1011486,0.69,697925.34,0.424610670062293
M.restricta,0.78,10M,3,0,5761021,784312,0.78,611763.36,0.106190093735121
S.epidermidis,0.56,10M,3,0,1497336,60978,0.56,34147.68,0.0228056227860681
S.pyogenes,0.64,10M,3,0,1276447,5311,0.64,3399.04,0.00266289160458679
C.acnes,0.65,20M,3,0,1643683,2491902,0.65,1619736.3,0.985431071563069
M.restricta,0.79,20M,3,0,5761021,5041419,0.79,3982721.01,0.691322078152466
S.epidermidis,0.62,20M,3,0,1497336,1083930,0.62,672036.6,0.448821506996426
S.pyogenes,0.74,20M,3,0,1276447,79907,0.74,59131.18,0.0463248219471705
C.acnes,0.65,40M,3,0,1643684,2529170,0.65,1643960.5,1.00016821968213
M.restricta,0.79,40M,3,0,5761022,7273877,0.79,5746362.83,0.997455456688067
S.epidermidis,0.62,40M,3,0,1497337,2403707,0.62,1490298.34,0.995299214538878
S.pyogenes,0.76,40M,3,0,1276448,1074390,0.76,816536.4,0.639694213943694
C.acnes,0.41,40M,1.4,0,1643684,162,0.41,66.42,4.04092270777108E-05
M.restricta,0.79,40M,1.4,0,5761022,3145,0.79,2484.55,0.000431268965818912
S.epidermidis,0.18,40M,1.4,0,1497337,365,0.18,65.7,4.38778978947291E-05
S.pyogenes,0,40M,1.4,0,1276448,0,0,0,0
C.acnes,1,40M,1.3,0,1643684,6,1,6,3.65033668272004E-06
M.restricta,0.73,40M,1.3,0,5761022,394,0.73,287.62,4.99251695272124E-05
S.epidermidis,0,40M,1.3,0,1497337,6,0,0,0
S.pyogenes,0,40M,1.3,0,1276448,0,0,0,0
C.acnes,0,40M,1.2,0,1643684,0,0,0,0
M.restricta,0,40M,1.2,0,5761022,0,0,0,0
S.epidermidis,0,40M,1.2,0,1497337,0,0,0,0
S.pyogenes,0,40M,1.2,0,1276448,0,0,0,0
C.acnes,0,10M,1.5,1,1643683,0,0,0,0
M.restricta,0.6,10M,1.5,1,5761021,166,0.6,99.6,1.72886021418773E-05
S.epidermidis,0,10M,1.5,1,1497336,0,0,0,0
S.pyogenes,0,10M,1.5,1,1276447,0,0,0,0
C.acnes,0,20M,1.5,1,1643683,0,0,0,0
M.restricta,0.79,20M,1.5,1,5761021,853,0.79,673.87,0.000116970585595852
S.epidermidis,0.49,20M,1.5,1,1497336,78,0.49,38.22,2.55253329913927E-05
S.pyogenes,0,20M,1.5,1,1276447,0,0,0,0
C.acnes,0.61,40M,1.5,1,1643683,2608,0.61,1590.88,0.000967875192479328
M.restricta,0.78,40M,1.5,1,5761021,121183,0.78,94522.74,0.0164072896106437
S.epidermidis,0.19,40M,1.5,1,1497336,1998,0.19,379.62,0.000253530269759092
S.pyogenes,0.7,40M,1.5,1,1276447,60,0.7,42,3.29038338450402E-05
C.acnes,0.69,10M,2,1,1643683,2320,0.69,1600.8,0.000973910419466527
M.restricta,0.78,10M,2,1,5761021,12101,0.78,9438.78,0.00163838666791876
S.epidermidis,0.13,10M,2,1,1497336,1566,0.13,203.58,0.000135961467566398
S.pyogenes,0,10M,2,1,1276447,8,0,0,0
C.acnes,0.69,20M,2,1,1643684,201259,0.69,138868.71,0.0844862576991685
M.restricta,0.77,20M,2,1,5761022,202862,0.77,156203.74,0.0271138940278305
S.epidermidis,0.34,20M,2,1,1497337,9328,0.34,3171.52,0.00211810701264979
S.pyogenes,0.8,20M,2,1,1276448,1458,0.8,1166.4,0.000913785755471433
C.acnes,0.68,40M,2,1,1643684,2018511,0.68,1372587.48,0.835067738081043
M.restricta,0.79,40M,2,1,5761022,2069654,0.79,1635026.66,0.283808438849912
S.epidermidis,0.61,40M,2,1,1497337,210201,0.61,128222.61,0.085633768483648
S.pyogenes,0.69,40M,2,1,1276448,8933,0.69,6163.77,0.00482884535836948
C.acnes,0.68,10M,3,1,1643684,1058808,0.68,719989.44,0.438033977333843
M.restricta,0.78,10M,3,1,5761022,778986,0.78,607609.08,0.105468974081335
S.epidermidis,0.56,10M,3,1,1497337,59066,0.56,33076.96,0.0220905247115379
S.pyogenes,0.7,10M,3,1,1276448,4654,0.7,3257.8,0.00255223871242698
C.acnes,0.65,20M,3,1,1643684,2496701,0.65,1622855.65,0.987328251659078
M.restricta,0.79,20M,3,1,5761022,5036493,0.79,3978829.47,0.690646463422636
S.epidermidis,0.63,20M,3,1,1497337,1077211,0.63,678642.93,0.453233260114457
S.pyogenes,0.74,20M,3,1,1276448,69847,0.74,51686.78,0.040492664017649
C.acnes,0.65,40M,3,1,1643685,2529303,0.65,1644046.95,1
M.restricta,0.79,40M,3,1,5761023,7273737,0.79,5746252.23,0.997436085570219
S.epidermidis,0.62,40M,3,1,1497338,2403157,0.62,1489957.34,0.995070812334957
S.pyogenes,0.76,40M,3,1,1276449,1032489,0.76,784691.64,0.614745783027759
C.acnes,0.29,40M,1.4,1,1643685,75,0.29,21.75,1.32324624243696E-05
M.restricta,0.79,40M,1.4,1,5761023,2415,0.79,1907.85,0.000331165142024255
S.epidermidis,0.18,40M,1.4,1,1497338,451,0.18,81.18,5.42162157108148E-05
S.pyogenes,1,40M,1.4,1,1276449,2,1,2,1.56684677570353E-06
C.acnes,0,40M,1.3,1,1643685,0,0,0,0
M.restricta,0.77,40M,1.3,1,5761023,220,0.77,169.4,2.94044998605282E-05
S.epidermidis,0,40M,1.3,1,1497338,17,0,0,0
S.pyogenes,0,40M,1.3,1,1276449,0,0,0,0
C.acnes,0,40M,1.2,1,1643685,0,0,0,0
M.restricta,0.73,40M,1.2,1,5761023,22,0.73,16.06,2.7876993374267E-06
S.epidermidis,0,40M,1.2,1,1497338,0,0,0,0
S.pyogenes,0,40M,1.2,1,1276449,0,0,0,0
C.acnes,0,10M,1.5,2,1643684,0,0,0,0
M.restricta,0.7,10M,1.5,2,5761022,95,0.7,66.5,1.15430907918769E-05
S.epidermidis,0,10M,1.5,2,1497337,0,0,0,0
S.pyogenes,0,10M,1.5,2,1276448,0,0,0,0
C.acnes,0,20M,1.5,2,1643684,0,0,0,0
M.restricta,0.78,20M,1.5,2,5761022,997,0.78,777.66,0.000134986465943022
S.epidermidis,0.34,20M,1.5,2,1497337,114,0.34,38.76,2.58859562009087E-05
S.pyogenes,0,20M,1.5,2,1276448,0,0,0,0
C.acnes,0.61,40M,1.5,2,1643684,3462,0.61,2111.82,0.00128480900221697
M.restricta,0.8,40M,1.5,2,5761022,13831,0.8,11064.8,0.00192063144351818
S.epidermidis,0.18,40M,1.5,2,1497337,1987,0.18,357.66,0.000238864063333772
S.pyogenes,0.71,40M,1.5,2,1276448,55,0.71,39.05,3.05927072626539E-05
C.acnes,0.69,10M,2,2,1643684,2845,0.69,1963.05,0.00119429890416893
M.restricta,0.79,10M,2,2,5761022,11333,0.79,8953.07,0.0015540766898651
S.epidermidis,0.13,10M,2,2,1497337,1293,0.13,168.09,0.000112259297673136
S.pyogenes,0,10M,2,2,1276448,5,0,0,0
C.acnes,0.69,20M,2,2,1643685,244594,0.69,168769.86,0.102677739347868
M.restricta,0.78,20M,2,2,5761023,217536,0.78,169678.08,0.0294527690654941
S.epidermidis,0.34,20M,2,2,1497338,9234,0.34,3139.56,0.00209676105194686
S.pyogenes,0.8,20M,2,2,1276449,1436,0.8,1148.8,0.00089999678796411
C.acnes,0.67,40M,2,2,1643685,2107856,0.67,1412263.52,0.859205699388873
M.restricta,0.79,40M,2,2,5761023,2204230,0.79,1741341.7,0.302262584266718
S.epidermidis,0.61,40M,2,2,1497338,204606,0.61,124809.66,0.0833543662152433
S.pyogenes,0.69,40M,2,2,1276449,8583,0.69,5922.27,0.00463964482717288
C.acnes,0.68,10M,3,2,1643685,1173694,0.68,798111.92,0.48556257433754
M.restricta,0.78,10M,3,2,5761023,840113,0.78,655288.14,0.11374510047955
S.epidermidis,0.56,10M,3,2,1497338,57804,0.56,32370.24,0.0216185256769013
S.pyogenes,0.71,10M,3,2,1276449,4468,0.71,3172.28,0.0024852383448144
C.acnes,0.65,20M,3,2,1643685,2507020,0.65,1629563,0.991408329454853
M.restricta,0.79,20M,3,2,5761023,5191406,0.79,4101210.74,0.711889318962969
S.epidermidis,0.63,20M,3,2,1497338,1060877,0.63,668352.51,0.446360481067067
S.pyogenes,0.74,20M,3,2,1276449,66596,0.74,49281.04,0.0386079193136584
C.acnes,0.65,40M,3,2,1643686,2529328,0.65,1644063.2,1
M.restricta,0.79,40M,3,2,5761024,7278675,0.79,5750153.25,0.998113052471227
S.epidermidis,0.62,40M,3,2,1497339,2401767,0.62,1489095.54,0.994494593408707
S.pyogenes,0.76,40M,3,2,1276450,1015222,0.76,771568.72,0.604464507031219
C.acnes,0.45,40M,1.4,2,1643686,144,0.45,64.8,3.94235882035863E-05
M.restricta,0.8,40M,1.4,2,5761024,2628,0.8,2102.4,0.000364935122644863
S.epidermidis,0.18,40M,1.4,2,1497339,348,0.18,62.64,4.18342138954505E-05
S.pyogenes,0,40M,1.4,2,1276450,0,0,0,0
C.acnes,0,40M,1.3,2,1643686,0,0,0,0
M.restricta,0.59,40M,1.3,2,5761024,176,0.59,103.84,1.80245734091717E-05
S.epidermidis,0,40M,1.3,2,1497339,0,0,0,0
S.pyogenes,0,40M,1.3,2,1276450,0,0,0,0
C.acnes,0,40M,1.2,2,1643686,0,0,0,0
M.restricta,1,40M,1.2,2,5761024,6,1,6,1.04148151439744E-06
S.epidermidis,0,40M,1.2,2,1497339,0,0,0,0
S.pyogenes,0,40M,1.2,2,1276450,0,0,0,0
C.acnes,0,10M,1.5,3,1643685,0,0,0,0
M.restricta,0.46,10M,1.5,3,5761023,121,0.46,55.66,9.66147852560214E-06
S.epidermidis,0,10M,1.5,3,1497338,0,0,0,0
S.pyogenes,0,10M,1.5,3,1276449,0,0,0,0
C.acnes,0.8,20M,1.5,3,1643685,10,0.8,8,4.8671126158601E-06
M.restricta,0.78,20M,1.5,3,5761023,834,0.78,650.52,0.000112917445391209
S.epidermidis,0.51,20M,1.5,3,1497338,61,0.51,31.11,2.07768720222154E-05
S.pyogenes,0,20M,1.5,3,1276449,0,0,0,0
C.acnes,0.59,40M,1.5,3,1643685,2320,0.59,1368.8,0.000832762968573662
M.restricta,0.78,40M,1.5,3,5761023,12961,0.78,10109.58,0.00175482375265643
S.epidermidis,0.18,40M,1.5,3,1497338,1999,0.18,359.82,0.000240306463871217
S.pyogenes,0.78,40M,1.5,3,1276449,60,0.78,46.8,3.66642145514627E-05
C.acnes,0.7,10M,2,3,1643685,2331,0.7,1631.7,0.000992708456912364
M.restricta,0.8,10M,2,3,5761023,11502,0.8,9201.6,0.00159721632772513
S.epidermidis,0.13,10M,2,3,1497338,1441,0.13,187.33,0.000125108692893655
S.pyogenes,0,10M,2,3,1276449,6,0,0,0
C.acnes,0.69,20M,2,3,1643686,210650,0.69,145348.5,0.0884283859569285
M.restricta,0.78,20M,2,3,5761024,205160,0.78,160024.8,0.0277771451741913
S.epidermidis,0.32,20M,2,3,1497339,9253,0.32,2960.96,0.00197748138531088
S.pyogenes,0.8,20M,2,3,1276450,1530,0.8,1224,0.000958909475498453
C.acnes,0.68,40M,2,3,1643686,2042390,0.68,1388825.2,0.844945567462399
M.restricta,0.79,40M,2,3,5761024,2095695,0.79,1655599.05,0.287379300971494
S.epidermidis,0.61,40M,2,3,1497339,195508,0.61,119259.88,0.0796478820093513
S.pyogenes,0.7,40M,2,3,1276450,9298,0.7,6508.6,0.00509898546750754
C.acnes,0.68,10M,3,3,1643686,1089392,0.68,740786.56,0.450686177286903
M.restricta,0.78,10M,3,3,5761024,793109,0.78,618625.02,0.107381087112291
S.epidermidis,0.55,10M,3,3,1497339,56104,0.55,30857.2,0.0206080253035552
S.pyogenes,0.7,10M,3,3,1276450,4732,0.7,3312.4,0.00259500959692898
C.acnes,0.65,20M,3,3,1643686,2500247,0.65,1625160.55,0.98872932543077
M.restricta,0.79,20M,3,3,5761024,5070811,0.79,4005940.69,0.695352196067921
S.epidermidis,0.63,20M,3,3,1497339,1051856,0.63,662669.28,0.442564629653004
S.pyogenes,0.75,20M,3,3,1276450,73217,0.75,54912.75,0.0430198989384621
C.acnes,0.65,40M,3,3,1643687,2529325,0.65,1644061.25,1
M.restricta,0.79,40M,3,3,5761025,7275421,0.79,5747582.59,0.997666663484363
S.epidermidis,0.62,40M,3,3,1497340,2401697,0.62,1489052.14,0.994464944501583
S.pyogenes,0.76,40M,3,3,1276451,1050568,0.76,798431.68,0.625509071636906
C.acnes,0.29,40M,1.4,3,1643687,69,0.29,20.01,1.21738506175446E-05
M.restricta,0.83,40M,1.4,3,5761025,3309,0.83,2746.47,0.000476732873056444
S.epidermidis,0.16,40M,1.4,3,1497340,375,0.16,60,4.00710593452389E-05
S.pyogenes,0,40M,1.4,3,1276451,0,0,0,0
C.acnes,0,40M,1.3,3,1643687,0,0,0,0
M.restricta,0.54,40M,1.3,3,5761025,373,0.54,201.42,3.49625283695176E-05
S.epidermidis,0,40M,1.3,3,1497340,0,0,0,0
S.pyogenes,0,40M,1.3,3,1276451,0,0,0,0
C.acnes,0,40M,1.2,3,1643687,0,0,0,0
M.restricta,0.24,40M,1.2,3,5761025,37,0.24,8.88,1.54139237375293E-06
S.epidermidis,0,40M,1.2,3,1497340,0,0,0,0
S.pyogenes,0,40M,1.2,3,1276451,0,0,0,0
C.acnes,0,10M,1.5,4,1643686,0,0,0,0
M.restricta,0.55,10M,1.5,4,5761024,168,0.55,92.4,1.60388153217206E-05
S.epidermidis,0,10M,1.5,4,1497339,0,0,0,0
S.pyogenes,0,10M,1.5,4,1276450,0,0,0,0
C.acnes,0.13,20M,1.5,4,1643686,16,0.13,2.08,1.26544851023857E-06
M.restricta,0.82,20M,1.5,4,5761024,1332,0.82,1092.24,0.00018959129488091
S.epidermidis,0.4,20M,1.5,4,1497339,109,0.4,43.6,2.91183225709075E-05
S.pyogenes,0,20M,1.5,4,1276450,0,0,0,0
C.acnes,0.6,40M,1.5,4,1643686,2898,0.6,1738.8,0.0010578662834629
M.restricta,0.77,40M,1.5,4,5761024,14281,0.77,10996.37,0.0019087526800791
S.epidermidis,0.17,40M,1.5,4,1497339,2172,0.17,369.24,0.00024659746390096
S.pyogenes,0.68,40M,1.5,4,1276450,59,0.68,40.12,3.14309216968937E-05
C.acnes,0.7,10M,2,4,1643686,2423,0.7,1696.1,0.0010318880856806
M.restricta,0.78,10M,2,4,5761024,11996,0.78,9356.88,0.00162416959207252
S.epidermidis,0.15,10M,2,4,1497339,1491,0.15,223.65,0.000149364973462923
S.pyogenes,0.13,10M,2,4,1276450,8,0.13,1.04,8.14759685064045E-07
C.acnes,0.69,20M,2,4,1643687,210928,0.69,145540.32,0.0885450332088773
M.restricta,0.78,20M,2,4,5761025,215289,0.78,167925.42,0.0291485317282949
S.epidermidis,0.33,20M,2,4,1497340,9263,0.33,3056.79,0.00204148022493221
S.pyogenes,0.8,20M,2,4,1276451,1350,0.8,1080,0.000846095933177223
C.acnes,0.69,40M,2,4,1643687,800223,0.69,552153.87,0.335923974576668
M.restricta,0.77,40M,2,4,5761025,531559,0.77,409300.43,0.0710464596143915
S.epidermidis,0.39,40M,2,4,1497340,14978,0.39,5841.42,0.00390119812467442
S.pyogenes,0.69,40M,2,4,1276451,2620,0.69,1807.8,0.00141627058147943
C.acnes,0.68,10M,3,4,1643687,1102395,0.68,749628.6,0.456065297103402
M.restricta,0.78,10M,3,4,5761025,830246,0.78,647591.88,0.112409142470307
S.epidermidis,0.56,10M,3,4,1497340,59021,0.56,33051.76,0.0220736506070766
S.pyogenes,0.7,10M,3,4,1276451,4505,0.7,3153.5,0.00247052178266146
C.acnes,0.65,20M,3,4,1643687,2502006,0.65,1626303.9,0.989424324704156
M.restricta,0.79,20M,3,4,5761025,5160393,0.79,4076710.47,0.707636309510894
S.epidermidis,0.63,20M,3,4,1497340,1080783,0.63,680893.29,0.454735257189416
S.pyogenes,0.75,20M,3,4,1276451,69297,0.75,51972.75,0.0407166040842931
C.acnes,0.65,40M,3,4,1643688,2529342,0.65,1644072.3,1
M.restricta,0.79,40M,3,4,5761026,7277205,0.79,5748991.95,0.997911127288785
S.epidermidis,0.62,40M,3,4,1497341,2403357,0.62,1490081.34,0.99515163212655
S.pyogenes,0.76,40M,3,4,1276452,1030814,0.76,783418.64,0.613747042583662
C.acnes,0.35,40M,1.4,4,1643688,69,0.35,24.15,1.46925693927315E-05
M.restricta,0.84,40M,1.4,4,5761026,22668,0.84,19041.12,0.00330516126814911
S.epidermidis,0.19,40M,1.4,4,1497341,428,0.19,81.32,5.43096061618563E-05
S.pyogenes,1,40M,1.4,4,1276452,1,1,1,7.83421546599481E-07
C.acnes,0,40M,1.3,4,1643688,0,0,0,0
M.restricta,0.72,40M,1.3,4,5761026,326,0.72,234.72,4.07427426989568E-05
S.epidermidis,0,40M,1.3,4,1497341,2,0,0,0
S.pyogenes,0,40M,1.3,4,1276452,0,0,0,0
C.acnes,0,40M,1.2,4,1643688,0,0,0,0
M.restricta,0.25,40M,1.2,4,5761026,8,0.25,2,3.47160384278773E-07
S.epidermidis,0,40M,1.2,4,1497341,0,0,0,0
S.pyogenes,0,40M,1.2,4,1276452,0,0,0,0
