genome_ID	OTU	NCBI_ID	novelty_category
Acidovorax_sp._IB03	1	2779366	known_strain
Acinetobacter_baumannii	2	470	known_strain
Acinetobacter_sp._AR2-3	3	1891969	known_strain
Aeromonas_hydrophila	4	644	known_strain
Afipia_broomeae	5	56946	known_strain
Afipia_clevelandensis	6	1034	known_strain
Agrobacterium_sp._B133-95	7	1841656	known_strain
Aquirufa_antheringensis	8	2516559	known_strain
Aquirufa_lenticrescens	9	2696560	known_strain
Asinibacterium_sp._OR53	10	925409	known_strain
Bacillus_thuringiensis	11	1428	known_strain
Bacteroides_sp._1_1_30	12	457387	known_strain
Bacteroides_uniformis	13	820	known_strain
Bradyrhizobium_campsiandrae	14	1729892	known_strain
Burkholderia_cenocepacia	15	95486	known_strain
Burkholderia_contaminans	16	488447	known_strain
Burkholderia_dolosa	17	152500	known_strain
Burkholderia_gladioli	18	28095	known_strain
Burkholderia_plantarii	19	41899	known_strain
Burkholderia_pseudomallei	20	28450	known_strain
Burkholderia_ubonensis	21	101571	known_strain
Burkholderia_vietnamiensis	22	60552	known_strain
Campylobacter_jejuni	23	197	known_strain
Candidatus_Hamiltonella_defensa	24	138072	known_strain
Candidatus_Methylopumilus_turicensis	25	1581680	known_strain
Candidatus_Planktophila_sulfonica	26	1884904	known_strain
Chroococcidiopsis_cubana	27	171392	known_strain
Citrobacter_freundii	28	546	known_strain
Clostridioides_difficile	29	1496	known_strain
Coprococcus_comes	30	410072	known_strain
Corynebacterium_aurimucosum	31	169292	known_strain
Corynebacterium_kefirresidentii	32	1979527	known_strain
Curvibacter_gracilis	33	230310	known_strain
Curvibacter_lanceolatus	34	86182	known_strain
Curvibacter_sp._AEP1-3	35	1844971	known_strain
Cutibacterium_acnes	36	1747	known_strain
Cutibacterium_avidum	37	33010	known_strain
Cutibacterium_granulosum	38	33011	known_strain
Cutibacterium_modestum	39	765109	known_strain
Cutibacterium_namnetense	40	1574624	known_strain
Enterobacter_hormaechei	41	550	known_strain
Enterococcus_faecalis	42	1351	known_strain
Enterococcus_faecium	43	1352	known_strain
Enterococcus_sp._10A9_DIV0425	44	1987383	known_strain
Enterococcus_sp._10F3_DIV0382	45	1834165	known_strain
Enterococcus_sp._2F9_DIV0599	46	1834172	known_strain
Enterococcus_sp._2G9_DIV0600	47	1834173	known_strain
Enterococcus_sp._3C8_DIV0646	48	1834175	known_strain
Enterococcus_sp._3H8_DIV0648	49	1834178	known_strain
Enterococcus_sp._8E11_MSG4843	50	1834190	known_strain
Enterococcus_sp._9D6_DIV0238	51	1834192	known_strain
Enterococcus_sp._9E7_DIV0242	52	1834193	known_strain
Enterococcus_termitis	53	332950	known_strain
Escherichia_coli	54	562	known_strain
Flavobacterium_bernardetii	55	2813823	known_strain
Flavobacterium_psychrophilum	56	96345	known_strain
Flavobacterium_sp._GENT11	57	1751100	known_strain
Flavobacterium_sp._GENT5	58	1751095	known_strain
Flavobacterium_sp._SHINM13	59	1751056	known_strain
Flavobacterium_terrigena	60	402734	known_strain
Francisella_tularensis	61	263	known_strain
Gardnerella_sp._26-12	62	1841133	known_strain
Glycomyces_tenuis	63	58116	known_strain
Haemophilus_influenzae	64	725	known_strain
Klebsiella_aerogenes	65	548	known_strain
Klebsiella_pneumoniae	66	573	known_strain
Klebsiella_quasipneumoniae	67	1328376	known_strain
Klebsiella_variicola	68	244366	known_strain
Kocuria_rosea	69	1275	known_strain
Lacticaseibacillus_rhamnosus	70	47715	known_strain
Lactiplantibacillus_plantarum	71	1590	known_strain
Lactobacillus_crispatus	72	47770	known_strain
Leuconostoc_mesenteroides	73	1245	known_strain
Limnohabitans_radicicola	74	2771427	known_strain
Limnohabitans_sp._103DPR2	75	1678129	known_strain
Limnohabitans_sp._63ED37-2	76	1678128	known_strain
Limnohabitans_sp._Rim47	77	1100721	known_strain
Listeria_monocytogenes	78	1638	known_strain
Malassezia_restricta	79	76775	known_strain
Mesorhizobium_sp._PAMC28654	80	2880934	known_strain
Methanosarcina_mazei	81	2209	known_strain
Methanosarcina_sp._2.H.T.1A.15	82	1483596	known_strain
Methylotenera_versatilis	83	666681	known_strain
Microbacterium_oleivorans	84	273677	known_strain
Microbacterium_sp._AR7-10	85	1891970	known_strain
Micrococcus_sp._KRD070	86	2729719	known_strain
Mycobacterium_leprae	87	1769	known_strain
Mycobacterium_tuberculosis	88	1719	known_strain
Neisseria_gonorrhoeae	89	485	known_strain
Novosphingobium_fuchskuhlense	90	1117702	known_strain
Novosphingobium_sp._EMRT-2	91	2571749	known_strain
Pantoea_allii	92	574096	known_strain
Paraburkholderia_dinghuensis	93	2305225	known_strain
Paraburkholderia_fungorum	94	134537	known_strain
Pectobacterium_carotovorum	95	554	known_strain
Phocaeicola_vulgatus	96	821	known_strain
Polynucleobacter_asymbioticus	97	312153	known_strain
Polynucleobacter_sp._Adler-ghost	98	2770234	known_strain
Polynucleobacter_sp._AP-Ainpum-60-G11	99	2576926	known_strain
Polynucleobacter_sp._AP-RePozz3-80-G7	100	2689105	known_strain
Polynucleobacter_sp._Fuers-14	101	1758364	known_strain
Polynucleobacter_sp._JS-JIR-II-b4	102	1758390	known_strain
Polynucleobacter_sp._VK25	103	1758398	known_strain
Pseudoalteromonas_sp._Scap06	104	2589991	known_strain
Pseudomonas_aeruginosa	105	287	known_strain
Pseudomonas_fluorescens	106	294	known_strain
Pseudomonas_putida	107	303	known_strain
Pseudomonas_sp._HS-2	108	2545454	known_strain
Pseudomonas_syringae	109	317	known_strain
Pseudomonas_syringae_group_genomosp._3	110	251701	known_strain
Purpureocillium_lilacinum	111	33203	known_strain
Raoultella_ornithinolytica	112	54291	known_strain
Rhizobium_leguminosarum	113	384	known_strain
Rhizophagus_irregularis	114	588596	known_strain
Salmonella_enterica	115	594	known_strain
Salmonella_sp._S040_44862	116	2665545	known_strain
Salmonella_sp._S041_48945	117	2665546	known_strain
Salmonella_sp._zj-f94	118	2582626	known_strain
Serratia_marcescens	119	615	known_strain
Shigella_sonnei	120	624	known_strain
Siminovitchia_fortis	121	254758	known_strain
Sphingobium_sp._B2	122	2583228	known_strain
Sphingomonas_echinoides	123	59803	known_strain
Sphingomonas_sp._CL5.1	124	2653203	known_strain
Staphylococcus_aureus	125	1280	known_strain
Staphylococcus_capitis	126	29388	known_strain
Staphylococcus_epidermidis	127	1282	known_strain
Staphylococcus_equorum	128	29383	known_strain
Staphylococcus_haemolyticus	129	1283	known_strain
Staphylococcus_hominis	130	1290	known_strain
Stenotrophomonas_maltophilia	131	40324	known_strain
Streptococcus_agalactiae	132	1311	known_strain
Streptococcus_pneumoniae	133	1313	known_strain
Streptococcus_pyogenes	134	1314	known_strain
Streptomyces_californicus	135	67351	known_strain
Streptomyces_resistomycificus	136	67356	known_strain
Streptomyces_sp._NRRL_S-15	137	1463886	known_strain
Streptomyces_sp._NRRL_S-481	138	1463911	known_strain
Streptomyces_sp._NRRL_WC-3549	139	1463925	known_strain
Sulfolobus_acidocaldarius	140	2285	known_strain
Undibacterium_griseum	141	2762295	known_strain
Undibacterium_jejuense	142	1344949	known_strain
Undibacterium_oligocarboniphilum	143	666702	known_strain
Undibacterium_sp._FT79W	144	2762296	known_strain
Vibrio_crassostreae	145	246167	known_strain
Vibrio_parahaemolyticus	146	670	known_strain
Xanthomonas_arboricola	147	56448	known_strain
Xanthomonas_campestris	148	339	known_strain
Xanthomonas_citri	149	346	known_strain
Xanthomonas_fragariae	150	48664	known_strain
